Title,company,location,job_type,Experience_level,Experience_year,categories,department,Number_of_skills
Senior Mechanical Technical Office Engineer,SWAT,Nasr City,Full Time,Experienced,5.0,Engineering - Construction/Civil/Architecture,Engineering - Mechanical/Electrical,8
Telesales Representative,Babebella Cosmetics,Hadayek Alahram,Full Time,Entry Level,Unknown,Business Development,Customer Service/Support,8
Purchasing Manager – Corrugated Packaging Plant,Confidential,10th of Ramadan City,Full Time,Manager,7.0,Logistics/Supply Chain,Purchasing/Procurement,8
Technical Support,Confidential,Cairo,Full Time,Experienced,2.0,IT/Software Development,Engineering - Telecom/Technology,2
Senior Archricture Technical Office Engineer,Bahna Engineering,Zamalek,Full Time,Experienced,8.0,Engineering - Construction/Civil/Architecture,Creative/Design/Art,7
Science Teacher Physics and Chemistry,GB Corp,15th May City,Full Time,Entry Level,Unknown,Education/Teaching,Physics instruction,8
Graphic Designer,pxlatt,Cairo,Full Time,Entry Level,1.0,Creative/Design/Art,Graphic Design,6
Chemical Engineer,GEZDERI POLEXCHEM S.A.E,Badr City,Full Time,Experienced,2.0,Manufacturing/Production,Manufacturing/Production,8
Cost Accountant,Chema Foam,10th of Ramadan City,Full Time,Experienced,1.0,Accounting/Finance,Cost Accounting,3
Senior Civil Structrual Design Engineer,Onspec Tawakol Engineering & Contracting,Katameya,Full Time,Experienced,6.0,Engineering - Oil & Gas/Energy,AutoCAD and Revit proficiency,4
Talent Management Supervisor,Naguib Selim,Nasr City,Full Time,Experienced,4.0,Administration,Human Resources,8
Social Media Designer,inforise computer,Alexandria,Full Time,Experienced,1.0,Marketing/PR/Advertising,Graphic Design,2
Search Engine Optimization Specialist [ SEO ],Sun Pyramids Tours,Faisal,Full Time,Experienced,2.0,Writing/Editorial,Marketing/PR/Advertising,8
Interior Designer,EGYPTWOOD,New Cairo,Full Time,Experienced,2.0,Creative/Design/Art,Sales/Retail,4
Interior Designer,Ghowiba Construction,Nasr City,Full Time,Entry Level,1.0,Engineering - Construction/Civil/Architecture,Interior design,8
Products Standardization Senior Chemist (Paints Industry),Scib Paints,6th of October,Full Time,Experienced,2.0,R&D/Science,Manufacturing/Production,8
Project Manager,Confidential,Cairo,Full Time,Manager,10.0,Project/Program Management,Project Management,7
Area Sales Manager – Frozen Meat Products Company,Confidential,6th of October,Full Time,Experienced,8.0,Manufacturing/Production,Sales/Retail,3
Maintenance Engineer,Dabur,10th of Ramadan City,Full Time,Experienced,2.0,Engineering - Mechanical/Electrical,Electrical systems maintenance,3
Recruitment Specialist,Madar Group,Alexandria,Full Time,Entry Level,3.0,Human Resources,Talent Acquisition,5
Electric Power Engineer,Al-Amal Al-sharif For Plastic,10th of Ramadan City,Full Time,Entry Level,2.0,Installation/Maintenance/Repair,Engineering - Mechanical/Electrical,8
Telesales Representative,SamTech,Cairo,Full Time,Entry Level,1.0,Business Development,Customer Service/Support,9
Call Center Executive,Elkamash Group,Cairo,Full Time,Experienced,2.0,Administration,Customer Service/Support,8
Senior UI/UX Designer,Exab,Cairo,Full Time,Experienced,3.0,Creative/Design/Art,IT/Software Development,8
Technical Office Engineer,Riyadh Cables,Maadi,Full Time,Entry Level,1.0,Engineering - Mechanical/Electrical,Cables,8
Tendering / Procurement engineer,Egyptian Contracting Centre,Mohandessin,Full Time,Experienced,5.0,Engineering - Construction/Civil/Architecture,Purchasing/Procurement,6
Mechanical Drawings Draftsman,BMC,Riyadh,Full Time,Entry Level,1.0,Engineering - Mechanical/Electrical,AutoCAD,8
Hospitality Engineer,HIEC,Riyadh,Full Time,Experienced,5.0,Creative/Design/Art,Engineering Design,4
Mechanical Maintenance Engineer,Triangle Energy,Cairo,Full Time,Experienced,2.0,Installation/Maintenance/Repair,Engineering - Mechanical/Electrical,3
Heavy Equipment Sales Engineer,Teckman Heavy Equipment,Shorouk City,Full Time,Experienced,2.0,Manufacturing/Production,Manufacturing/Production,9
Painter,Asmacs Qatar,Riyadh,Full Time,Entry Level,Unknown,Creative/Design/Art,Engineering - Telecom/Technology,4
Customer Account Manager/ Follow up Specialist,Expert Apps,Maadi,Full Time,Experienced,3.0,Customer Service/Support,IT/Software Development,8
Video Creator,Digital Avenue ltd,Nasr City,Full Time,Experienced,2.0,Marketing/PR/Advertising,Video Editing,8
Textile Designer,GTP,10th of Ramadan City,Full Time,Entry Level,1.0,Creative/Design/Art,Fashion,7
Product Line Head (Marketing),El Abd Group,Dokki,Full Time,Experienced,5.0,Business Development,Marketing/PR/Advertising,7
Sales Trainee,Smart Technology Solutions,Jeddah,Internship,Entry Level,Unknown,Administration,Sales/Retail,5
Product Manager,Biovera,Dokki,Full Time,Manager,Unknown,Customer Service/Support,Marketing/PR/Advertising,7
Sales Representative,Taap Egypt,Maadi,Full Time,Experienced,2.0,Sales/Retail,Sales Negotiation,8
"Relationship Manager, Personal Loans.Injaz - RBG - Emirati PL Sales.Retail Banking Group",Mashreq,Dubai,Full Time,Experienced,Unknown,Customer Service/Support,Sales/Retail,7
Technician Maintenance And Operations,Asmacs Qatar,Riyadh,Full Time,Entry Level,Unknown,Installation/Maintenance/Repair,Engineering - Mechanical/Electrical,7
Technical Product Owner,Bevatel,Dokki,Full Time,Experienced,2.0,IT/Software Development,Engineering - Telecom/Technology,8
Legal Affairs Manager,AboZahra Group,Alexandria,Full Time,Manager,10.0,Legal,Legal,9
Civil Engineer,Confidential,Dubai,Full Time,Experienced,Unknown,Engineering - Construction/Civil/Architecture,Engineering - Construction/Civil/Architecture,6
Mechanical Design Engineer,Confidential,Nasr City,Full Time,Experienced,Unknown,Creative/Design/Art,Engineering - Mechanical/Electrical,7
Recruitment Specialist,Mico World Limited,Maadi,Full Time,Experienced,Unknown,Administration,Human Resources,8
Sales Manager 2,Confidential,Belbes,Full Time,Manager,6.0,Business Development,Customer Service/Support,3
Customer Support Specialist - German Speaker,MARS EC,6th of October,Full Time,Entry Level,1.0,Customer Service/Support,German language proficiency,7
Real Estate Sales ( Fresh Graduate ) No Experience,The Address Investments for Real Estate Consultancy,New Cairo,Full Time,Entry Level,0.0,Business Development,Customer Service/Support,8
Customer Support & Logistic,t group,Obour City,Full Time,Experienced,2.0,Customer Service/Support,Logistics/Supply Chain,8
Sales Manager,Brand Connection,New Cairo,Full Time,Manager,4.0,Customer Service/Support,IT/Software Development,5
Senior UI/UX Designer,Generator,Heliopolis,Full Time,Experienced,5.0,Creative/Design/Art,IT/Software Development,8
Community Executive,ATRIC Developments,Ain Sokhna,Full Time,Experienced,3.0,Customer Service/Support,Communication,1
English Instructor For (Teens/adults) Online,E-Planet,Sheikh Zayed,Part Time,Entry Level,Unknown,Education/Teaching,Teaching,7
English language Instructors For ( Kids /Teens/adults) (Zayed),E-Planet,Sheikh Zayed,Part Time,Experienced,Unknown,Education/Teaching,Training/Instructor,8
Senior Architect Engineer,Sinoma-cdi,Cairo,Full Time,Experienced,5.0,Engineering - Construction/Civil/Architecture,Architectural Engineering,8
Branch Sales Manager,Delta Capital for Urban Development,Mansoura,Full Time,Manager,8.0,Sales/Retail,Sales Leadership,2
Head OF Accounting,Confidential,Maadi,Full Time,Senior Management,13.0,Accounting/Finance,Finance,1
Senior System & Security Engineer,Energya Cables,10th of Ramadan City,Full Time,Experienced,7.0,IT/Software Development,MCSA,5
Export manager,KAG Egypt,New Cairo,Full Time,Senior Management,5.0,Other,International Sales,4
Real Estate Sales Agent,Reavera,6th of October,Full Time,Entry Level,1.0,Marketing/PR/Advertising,Sales/Retail,8
Spanish Customer Support Agent,Intouch CX,Maadi,Full Time,Entry Level,0.0,Customer Service/Support,Customer Service,8
Senior Marketing Executive,AlNirvana Over the World,Nasr City,Full Time,Experienced,Unknown,Marketing/PR/Advertising,Marketing,1
Quality Assurance Engineer,Al Ahly Momkn for e-payment,Maadi,Full Time,Entry Level,1.0,IT/Software Development,Quality,8
Project Manager,Confidential,Cairo,Full Time,Manager,5.0,Engineering - Construction/Civil/Architecture,Manufacturing/Production,3
Electrical Engineer,Al Hayat Medical Clinics,Nasr City,Full Time,Experienced,5.0,Engineering - Construction/Civil/Architecture,AutoCAD,1
General Manager,ELDRIENY,Mahalla Kubra,Full Time,Senior Management,10.0,C-Level Executive/GM/Director,Engineering - Mechanical/Electrical,7
Senior Wet Utilities,ARX | Smart Minds,New Cairo,Full Time,Experienced,8.0,Engineering - Other,Wet utilities design,2
Management Trainee - Chinese Speaker,realme,Nasr City,Full Time,Entry Level,1.0,Business Development,Sales/Retail,3
Marketing Supervisor,Dawi Clinics,Maadi,Full Time,Experienced,Unknown,Writing/Editorial,Marketing/PR/Advertising,4
Senior Media Buyer | Business Consulting,Quickplus,6th of October,Full Time,Experienced,4.0,Marketing/PR/Advertising,Media Buying,3
CEO Office Manager,Confidential,Bourj Alarab,Full Time,Manager,7.0,Administration,Operations/Management,7
BA N Technician,Asmacs Qatar,Riyadh,Full Time,Experienced,Unknown,Installation/Maintenance/Repair,Engineering - Telecom/Technology,4
Senior Sales Advisor,Software House Solution,Heliopolis,Full Time,Experienced,2.0,Customer Service/Support,Customer Service/Support,9
Recruitment Specialist,WUZZUF,Maadi,Full Time,Experienced,1.0,Customer Service/Support,Human Resources,8
Marketing Manager,The Egyptian Hospital,Hurghada,Full Time,Manager,5.0,Marketing/PR/Advertising,Marketing/PR/Advertising,9
Technical Consultant Support,Software House Solution,Heliopolis,Full Time,Entry Level,1.0,Customer Service/Support,Customer Service/Support,7
Production Manager,Confidential,10th of Ramadan City,Full Time,Manager,Unknown,Logistics/Supply Chain,Operations/Management,8
Customer Support (Spanish / French / Italian / German),Confidential,Maadi,Full Time,Entry Level,Unknown,Business Development,Sales/Retail,7
Helper,Asmacs Qatar,Riyadh,Full Time,Entry Level,Unknown,Installation/Maintenance/Repair,Engineering - Telecom/Technology,4
Web Administrator,eldorra,Dokki,Full Time,Experienced,2.0,Creative/Design/Art,IT/Software Development,3
Export Manager – Plastic Finished Products (Customer Exports under GAP Brand),Gap Polymers,Maadi,Full Time,Manager,8.0,Sales/Retail,Export Management,6
Sales Coordinator,Arab Mechanical Engineers,Nasr City,Full Time,Entry Level,1.0,Administration,Customer Service/Support,7
Sales TeamLeader,omidar developments,Cairo,Full Time,Manager,2.0,Sales/Retail,Team Leadership,8
Primary Electrical Engineer (Substations),Al Sharif Group Holding,Giza,Full Time,Experienced,3.0,Engineering - Construction/Civil/Architecture,Creative/Design/Art,8
General hotel manager dahab,Daniela Hotels,Dahab,Full Time,Experienced,15.0,Administration,Operations/Management,8
Specialist Teacher & Dyslexia Specialist,Confidential,Riyadh,Full Time,Experienced,Unknown,Education/Teaching,Education/Teaching,5
HR & Admin Manager,Confidential,Sheraton,Full Time,Manager,15.0,Human Resources,Human Resources Management,7
Product Specialist,Pharma Overseas,Sheraton,Full Time,Entry Level,1.0,Medical/Healthcare,Sales/Retail,5
Sales Engineer,Atec Egypt,Nasr City,Full Time,Entry Level,1.0,Engineering - Mechanical/Electrical,Electrical Engineering,8
Medical Sales Representative,Saudi German Hospital,New Nozha,Full Time,Experienced,2.0,Medical/Healthcare,Sales/Retail,8
Call Center Agent,axlr8,Maadi,Full Time,Experienced,2.0,Customer Service/Support,Adaptability,8
IT Technical Support Analyst,TEPCO S.A.E.,6th of October,Full Time,Experienced,2.0,IT/Software Development,Engineering - Telecom/Technology,8
Electrical Engineer,Total Air,Cairo,Full Time,Experienced,0.0,Installation/Maintenance/Repair,Engineering - Mechanical/Electrical,8
Interior & Kitchen Designer,Amaken Interiors,Nasr City,Full Time,Entry Level,Unknown,Creative/Design/Art,KitchenDraw,7
Architectural BIM Engineer,Lujytec for Technology and Digital Solutions,Alexandria,Full Time,Experienced,Unknown,Engineering - Construction/Civil/Architecture,Clash Detection,8
Washing Denim Specialist,Hun Safety Textile LLC Free Zone Ismailia,Ismailia,Full Time,Manager,5.0,Manufacturing/Production,Denim washing techniques,8
Portfolio Manager,Basata Microfinance Solutions,Nasr City,Full Time,Entry Level,0.0,Operations/Management,Analyst/Research,7
English Arabic Translator,Hun Safety Textile LLC Free Zone Ismailia,Ismailia,Full Time,Experienced,1.0,Administration,Customer Service/Support,5
Talent Acquisition Specialist,ORGANI GROUP,New Cairo,Full Time,Entry Level,1.0,Human Resources,Recruitment,8
Sales Executive - Kuwaiti,Al Hayat Medical Clinics,Kuwait City,Full Time,Experienced,5.0,Sales/Retail,CRM,5
Regulatory Affairs Specialist,Top cosmetic,Bab Alshareya,Full Time,Entry Level,Unknown,Medical/Healthcare,Communication,3
Amazon.SA & Noon.SA Account Manager,International Compass Academy,6th of October,Full Time,Experienced,3.0,Customer Service/Support,Marketing/PR/Advertising,8
Senior Quality Control Engineer,Dr.Greiche,10th of Ramadan City,Full Time,Experienced,3.0,Quality,Quality Control,5
Accounting Manager,Confidential,Haram,Full Time,Manager,4.0,Accounting/Finance,Accounting/Finance,9
Media Sales Consultant,Screens Media Network,Maadi,Full Time,Experienced,3.0,Marketing/PR/Advertising,Sales/Retail,6
Graphic Designer & video editor,Elkamash Group,Marg,Full Time,Experienced,3.0,Marketing/PR/Advertising,Graphic Design,5
Sales Executive,LAMA Medical,Maadi,Full Time,Experienced,2.0,Business Development,Business Development,9
Recruitment Specialist - French Speakers,Intouch CX,Sheikh Zayed,Full Time,Entry Level,1.0,Human Resources,Recruitment,3
Projects Manager Aluminum Facade Solutions,Alunaut,Nasr City,Full Time,Manager,10.0,Engineering - Construction/Civil/Architecture,Aluminum Facade Systems,8
Sales Trainer (Alexandria),OPPO Egypt,Smouha,Full Time,Entry Level,1.0,Sales/Retail,Sales/Retail,8
Human Resources Supervisor,Confidential,Riyadh,Full Time,Experienced,5.0,Human Resources,Marketing/PR/Advertising,8
Sales Lead - Banking/ Fintech Solutions,Egabi FSI,Sheraton,Full Time,Experienced,Unknown,IT/Software Development,Sales/Retail,8
Senior Planning Engineer,ACE Consulting Engineers  (Moharram - Bakhoum,Giza,Full Time,Experienced,10.0,Engineering - Construction/Civil/Architecture,Primavera P6,2
B2B Sales Executive,Hanafy,Cairo,Full Time,Experienced,3.0,Business Development,Customer Service/Support,8
Senior Technical Talent Acquisition Specialist,Erada,Maadi,Full Time,Experienced,3.0,Human Resources,IT/Software Development,8
Content Creator Specialist,247jobingulf.org,Dubai,Full Time,Experienced,2.0,Creative/Design/Art,Writing/Editorial,8
IT Specialist,MG,Nasr City,Full Time,Experienced,2.0,Installation/Maintenance/Repair,IT/Software Development,4
Export Sales Manager - Fresh Fruits & Vegetables,EMM Export Limited,Cairo,Full Time,Manager,Unknown,Business Development,Operations/Management,6
Software Sales Executive,SamTech,Cairo,Full Time,Experienced,2.0,Business Development,Customer Service/Support,8
Evening Dress Production Manager,Magdy group,Cairo,Full Time,Manager,Unknown,Manufacturing/Production,Fashion Design,4
Bilingual Content Writer (Arabic & English),The FA Agency,Alexandria,Full Time,Experienced,3.0,Writing/Editorial,Marketing/PR/Advertising,8
Tender Engineer,CSI,Heliopolis,Full Time,Entry Level,1.0,Engineering - Mechanical/Electrical,Engineering - Other,8
Graphic Designer,Ramy center,Helwan,Full Time,Entry Level,1.0,Creative/Design/Art,Marketing/PR/Advertising,6
Sales Trainer,The Address Investments for Real Estate Consultancy,New Cairo,Full Time,Entry Level,1.0,Sales/Retail,Training/Instructor,6
BIM Executive Drawings Team Leader,Lecon,Cairo,Full Time,Experienced,5.0,Engineering - Construction/Civil/Architecture,BIM Management,8
Technical Office Manager,Bayt El Khebra,Hurghada,Full Time,Manager,Unknown,Engineering - Construction/Civil/Architecture,Engineering - Construction/Civil/Architecture,9
Personal Assistant,Leadership Training & Consultancy,Sheikh Zayed,Full Time,Entry Level,1.0,Administration,Administration,9
Senior AI Studio Producer / Senior AI Media Creator,PentaValue,Heliopolis,Full Time,Experienced,Unknown,Administration,Creative/Design/Art,4
SALES TECHNICAL ENGINEER – GENERATORS,Badr And Asfour,Cairo,Full Time,Experienced,3.0,Sales/Retail,Engineering - Mechanical/Electrical,8
Documents Control Senior Specialist,GB Corp,Giza,Full Time,Experienced,3.0,Administration,Document Management,5
Oracle Fusion Financial Consultant,Kgroup,Sheraton,Full Time,Experienced,1.0,Accounting/Finance,Accounting/Finance,9
Marketing Manager,EL EZZ for construction and trading,New Cairo,Full Time,Manager,Unknown,Marketing/PR/Advertising,Marketing,4
Senior Customer Service Executive,EL EZZ for construction and trading,New Cairo,Full Time,Experienced,3.0,Business Development,Customer Service/Support,7
Inside Sales & Logistics Senior Specialist,Confidential,Maadi,Full Time,Experienced,5.0,Business Development,Customer Service/Support,8
Sales Executive,Carandx,Cairo,Full Time,Entry Level,1.0,Business Development,Customer Service/Support,8
Accountant,Websoft,Riyadh,Part Time,Experienced,Unknown,Accounting/Finance,Financial Reporting,8
"HSE Officer ""Night Shift """,AJE,6th of October,Full Time,Entry Level,1.0,Manufacturing/Production,Manufacturing/Production,8
Talent Acquisition Specialist,Multi M Group,khanka,Full Time,Entry Level,1.0,Human Resources,Human Resources (HR),5
IT Specialist,Jessour Misr,Abu Rawash,Full Time,Entry Level,1.0,Installation/Maintenance/Repair,IT/Software Development,6
Technical Support Engineer,Click Solutions,10th of Ramadan City,Full Time,Entry Level,0.0,Customer Service/Support,Installation/Maintenance/Repair,8
Procurement Supervisor,Sphinx Glass,Alsadat City,Full Time,Manager,7.0,Purchasing/Procurement,Engineering - Other,8
Polyclinics Manager,Cairoscan,Mohandessin,Full Time,Manager,5.0,Medical/Healthcare,Healthcare Operations Management,8
Graphic Designer,Confidential,Riyadh,Full Time,Entry Level,1.0,Creative/Design/Art,Marketing/PR/Advertising,8
Trainer,HealthCare International,Hurghada,Full Time,Experienced,2.0,Business Development,Business Development,8
Change Coordinator,RISEUP (Endemag for Administrative Skills Development),New Cairo,Full Time,Experienced,3.0,Logistics/Supply Chain,Operations/Management,8
Marketing Senior Specialist,PICO,Boulaq,Full Time,Experienced,3.0,Marketing/PR/Advertising,Marketing Strategy,2
Transportation Coordinator,Confidential,Sheikh Zayed,Full Time,Experienced,5.0,Administration,Hospitality/Hotels/Food Services,4
Sales Person,Al Reda Company for Import & Export,Nasr City,Full Time,Experienced,3.0,Hospitality/Hotels/Food Services,Sales/Retail,3
Senior Architect,Raafat Miller Consulting,Riyadh,Full Time,Manager,Unknown,Engineering - Construction/Civil/Architecture,Architectural Design,6
administration and hr specialist,New Mena Plast,Obour City,Full Time,Experienced,4.0,Administration,Human Resources,8
Project Manager,Innovent Technology,Cairo,Full Time,Manager,Unknown,IT/Software Development,Agile,8
Sales Engineer,Inter Solar Egypt,Nasr City,Full Time,Entry Level,1.0,Engineering - Telecom/Technology,Sales Engineering,2
Senior Frontend Engineer Angular,Confidential,Nasr City,Full Time,Experienced,Unknown,IT/Software Development,Angular,8
Pharmacist,Rx Pharmacy,Cairo,Full Time,Entry Level,1.0,Medical/Healthcare,Pharmaceutical,7
Freight Forwarder Sales Executive,GCT Freight,Nasr City,Full Time,Entry Level,Unknown,Logistics/Supply Chain,Sales/Retail,8
Export Sales Specialist,Confidential,Maadi,Full Time,Experienced,3.0,Sales/Retail,Export Sales,2
Security Manager,Confidential,khanka,Full Time,Manager,Unknown,Administration,Administration,6
Senior Mechanical Technical Office Engineer,CSI,Heliopolis,Full Time,Experienced,Unknown,Engineering - Mechanical/Electrical,Mechanical,8
Maintenance Technician - Environment,Saudi Air Navigation Services,Riyadh,Full Time,Entry Level,Unknown,Installation/Maintenance/Repair,Engineering - Mechanical/Electrical,7
Sales Engineer - UPS/Generators,Onspec Tawakol Engineering & Contracting,Katameya,Full Time,Experienced,3.0,Business Development,Sales/Retail,8
Technical Implementer,Software House Solution,Heliopolis,Full Time,Entry Level,0.0,Customer Service/Support,Customer Service/Support,9
Senior Talent Acquisition,SAK Developments,New Cairo,Full Time,Experienced,3.0,Human Resources,Human Resources (HR),1
Sales Manager - Container Transport ( Cairo ),Ship & C.R.E.W,Sheraton,Full Time,Manager,10.0,Customer Service/Support,Logistics/Supply Chain,8
Sales Manager - Container Transport ( Alexandria ),Ship & C.R.E.W,Stanley,Full Time,Manager,10.0,Customer Service/Support,Logistics/Supply Chain,8
Personnel and Administration Section Head,Confidential,khanka,Full Time,Senior Management,6.0,Administration,Human Resources,7
Graphic Designer,Cleopatra Travel,Heliopolis,Part Time,Experienced,2.0,Creative/Design/Art,Web Design,5
Senior Mechanical Engineer (MEP),Dubai Misr,New Capital,Full Time,Experienced,8.0,Engineering - Mechanical/Electrical,Engineering,8
Senior Design Architect,Ghanem Designs,6th of October,Full Time,Experienced,Unknown,Engineering - Construction/Civil/Architecture,Creative/Design/Art,8
Digital Marketing Manager,ACAD Training & Consulting,Giza,Full Time,Manager,Unknown,Marketing/PR/Advertising,Media/Journalism/Publishing,7
Project Coordinator,Asmacs Qatar,Riyadh,Full Time,Entry Level,Unknown,Administration,Project/Program Management,7
Shared Services Senior Specialist,Khalifa Holding Group,Cairo,Full Time,Experienced,5.0,Administration,Human Resources,8
Sales Representative,World Light for Electrical Industries,New Cairo,Full Time,Entry Level,0.0,Engineering - Other,Sales Negotiation,8
Formwork Design Engineer,Arab Mechanical Engineers,Nasr City,Full Time,Experienced,1.0,Engineering - Construction/Civil/Architecture,Formwork Design,4
Pricing & Estimation Engineer,Arab Mechanical Engineers,Badr City,Full Time,Experienced,4.0,Engineering - Construction/Civil/Architecture,Project/Program Management,7
Marketing Manager - Medical Supplies,Confidential,New Cairo,Full Time,Manager,10.0,Marketing/PR/Advertising,Medical/Healthcare,7
Sales Executive - Tunisian,Al Hayat Medical Clinics,Kuwait City,Full Time,Experienced,5.0,Sales/Retail,CRM,6
CAD/Revit Drafter,Minapharm Pharmaceuticals,10th of Ramadan City,Full Time,Entry Level,0.0,Engineering - Construction/Civil/Architecture,Creative/Design/Art,7
Furniture Production Engineer,Wood Maker's,Abu Qir,Full Time,Experienced,4.0,Engineering - Construction/Civil/Architecture,Manufacturing/Production,7
Fleet Sales Representative,GB Corp,Cairo,Full Time,Entry Level,0.0,Customer Service/Support,Sales/Retail,5
Front Office Manager,Maxim Investment Group,Ismailia,Full Time,Experienced,Unknown,Administration,Front Office Management,8
MEP BIM Engineer,Lujytec for Technology and Digital Solutions,Smouha,Full Time,Experienced,2.0,Creative/Design/Art,Engineering - Mechanical/Electrical,8
Content Creator,Professional Service - Proserv,Maadi,Part Time,Experienced,2.0,Writing/Editorial,Marketing/PR/Advertising,8
Head Of Operation,Tadawel,Faysal,Full Time,Senior Management,Unknown,Operations/Management,Operations Management,6
Project Engineer & Owner’s Representative (project duration: 2 years),Confidential,10th of Ramadan City,Full Time,Experienced,8.0,Engineering - Construction/Civil/Architecture,Engineering - Construction/Civil/Architecture,9
Customer Service Technical Support Agent (Fluent English Speaker),3D Diagnostix,Maadi,Full Time,Entry Level,0.0,Customer Service/Support,Installation/Maintenance/Repair,8
Sales Engineer,al-massagroup,Nasr City,Full Time,Entry Level,2.0,IT/Software Development,Sales/Retail,8
Graphic Designer,Diar Developments,New Cairo,Full Time,Entry Level,1.0,Marketing/PR/Advertising,Graphic Design,6
Instructional Designer,Selah ElTelmeez For Publishing & printing,Obour City,Full Time,Entry Level,Unknown,Education/Teaching,Instructional Design,7
Senior Electrical Maintenance Engineer,ABCO Group,Bourj Alarab,Full Time,Experienced,2.0,Installation/Maintenance/Repair,Installation/Maintenance/Repair,9
Senior Electrical Infrastructure,Constructive,6th of October,Full Time,Experienced,8.0,Engineering - Mechanical/Electrical,Drawings,8
Service Desk Engineer (Alexandria),Arma-HSA,Alexandria,Full Time,Entry Level,1.0,IT/Software Development,IT/Software Development,7
IT Specialist,Confidential,New Cairo,Full Time,Experienced,2.0,Installation/Maintenance/Repair,IT/Software Development,7
Senior Sales Executive - B2B SaaS (Remote),Mezan Technologies Co,Riyadh,Full Time,Experienced,5.0,Sales/Retail,B2B Sales,2
Senior Talent Management Specialist,Energya Cables,10th of Ramadan City,Full Time,Experienced,Unknown,Human Resources,Human Resources (HR),4
senior Planning Engineer,Confidential,10th of Ramadan City,Full Time,Experienced,5.0,Engineering - Construction/Civil/Architecture,Project/Program Management,8
Graphic Designer,The Name MEA,New Cairo,Full Time,Experienced,3.0,Creative/Design/Art,Marketing/PR/Advertising,5
Senior Odoo Functional Consultant,OdooTec,New Cairo,Full Time,Experienced,4.0,Accounting/Finance,IT/Software Development,8
German Teacher,Emerald educational development and schools mangement,6th of October,Full Time,Entry Level,Unknown,Education/Teaching,German language proficiency,5
Help Desk Specialist,Rameda,6th of October,Full Time,Entry Level,0.0,IT/Software Development,Engineering - Telecom/Technology,8
HVAC Design Engineer,Vital Konzept,Maadi,Full Time,Experienced,Unknown,Engineering - Construction/Civil/Architecture,Engineering - Mechanical/Electrical,8
Mechanical Engineer,Turath Real Estate,Obour City,Full Time,Experienced,3.0,Engineering - Mechanical/Electrical,Engineering - Mechanical/Electrical,9
International Relations Specialist,Elkamash Group,New Cairo,Full Time,Entry Level,5.0,Logistics/Supply Chain,International Relations,2
Senior Legal Associate,MK Enterprise,Downtown,Full Time,Experienced,3.0,Legal,Legal research,8
SAP Technical Support,Delta Egypt For Lighting,Obour City,Full Time,Entry Level,Unknown,IT/Software Development,SAP Program,8
B2B مسؤول شراكات - B2B Partnerships Officer,GARO,Riyadh,Part Time,Experienced,2.0,Business Development,Customer Service/Support,8
Talent Acquisition Specialist,Anchor Consultancy,10th of Ramadan City,Full Time,Experienced,3.0,Administration,Human Resources,5
Technical Office Manager,Winners Group,Glim,Full Time,Manager,10.0,Engineering - Construction/Civil/Architecture,Technical Office Engineering,2
HR Specialist,unitrade,Cairo,Full Time,Experienced,3.0,Administration,Human Resources,7
Religious Tourism Specialist,Best Way Travel,Nasr City,Full Time,Experienced,Unknown,Operations/Management,Marketing/PR/Advertising,8
Store Manager,Etisalat Egypt,Cairo,Full Time,Manager,4.0,Operations/Management,Sales/Retail,7
Mechanical Engineer.,National Rivers Ports Management Co.,Ameria,Full Time,Experienced,3.0,Engineering - Construction/Civil/Architecture,Engineering - Construction/Civil/Architecture,8
Internal Audit Supervisor,S G D,Alsadat City,Full Time,Experienced,8.0,Accounting/Finance,Operations/Management,5
Intermediate Technical Architectural Engineer,IKK GROUP (KCG -ABUILD),Cairo,Full Time,Experienced,4.0,Engineering - Construction/Civil/Architecture,Architectural Design,5
Procurement Manager,Confidential,Suez,Full Time,Manager,7.0,Engineering - Construction/Civil/Architecture,Operations/Management,3
Project Manager,AL SALMANYA,Cairo,Full Time,Manager,8.0,Engineering - Construction/Civil/Architecture,Project management,8
Talent Acquisition Specialist - Mass Hiring,Etisalat Egypt,Cairo,Full Time,Entry Level,0.0,Human Resources,Talent acquisition,6
Tax Officer,El Reefy Trading,6th of October,Full Time,Experienced,5.0,Accounting/Finance,Tax Compliance,5
Pre-Sales Engineer – Customer Journey Experience Solutions,Mediterranean for Integrated Solutions (Meditec),Cairo,Full Time,Experienced,3.0,Sales/Retail,Sales/Retail,5
Mechanical Engineer,Total Air,Cairo,Full Time,Experienced,1.0,Installation/Maintenance/Repair,Sales/Retail,8
Graphic Designer & Video Editor,Mahira,Heliopolis,Full Time,Experienced,2.0,Creative/Design/Art,Marketing/PR/Advertising,8
Senior BIM Architect,Architecture & Planning International API,Heliopolis,Full Time,Experienced,5.0,Engineering - Construction/Civil/Architecture,BIM Management,8
Fire Fighting Design Engineer,ECO-AKS,Garden City,Full Time,Experienced,Unknown,Creative/Design/Art,Engineering - Mechanical/Electrical,8
Senior Architecture & BIM Coordinator,3Concepts For Design & Decoration,Garden City,Full Time,Experienced,8.0,Engineering - Construction/Civil/Architecture,Architectural Design,5
Project Control Manager,GTCI Constructors,Heliopolis,Full Time,Manager,12.0,Engineering - Construction/Civil/Architecture,Project/Program Management,8
Procurement Specialist,Junior-Tex,Obour City,Full Time,Experienced,3.0,Logistics/Supply Chain,Purchasing/Procurement,8
