Title,company,location,job_type,Experience_level,Experience_year,categories,department,Number_of_skills
Regional Manager - Joint Replacement - UAE,Stryker,Dubai,Full Time,Experienced,Unknown,Business Development,Sales/Retail,7
Solution Architect (Core42),Core42,Dubai,Full Time,Experienced,Unknown,Customer Service/Support,Engineering - Telecom/Technology,7
Project Manager (Buildings),Stantec,Dubai,Full Time,Experienced,Unknown,Engineering - Construction/Civil/Architecture,Project/Program Management,7
IT Specialist,Marriott International,Dubai,Full Time,Experienced,Unknown,Installation/Maintenance/Repair,Engineering - Telecom/Technology,7
Technical Project Manager,Energy Job Search,Riyadh,Full Time,Experienced,Unknown,Engineering - Construction/Civil/Architecture,Project/Program Management,7
Operation Manager IS,Asmacs Qatar,Riyadh,Full Time,Experienced,Unknown,Administration,Sales/Retail,7
"Sales Representative - Leather Goods, Wallets & Perfumes",Exotic Colors International Investment and General Trading Comapny,Dubai,Freelance / Project,Entry Level,Unknown,Customer Service/Support,Sales/Retail,7
Warehouse Assistant,Noorka Logistics,Dubai,Full Time,Entry Level,Unknown,Administration,Operations/Management,7
Tech Design & Architecture Director,stc,Riyadh,Full Time,Manager,Unknown,Engineering - Construction/Civil/Architecture,Engineering - Telecom/Technology,7
Senior Business Process Analyst,TestCrew | Quality Engineering & Software Testing,Riyadh,Full Time,Experienced,Unknown,IT/Software Development,Engineering - Telecom/Technology,7
"Country Manager, Saudi Arabia",Checkout.com,Riyadh,Full Time,Manager,Unknown,Customer Service/Support,Sales/Retail,7
Ken Fix It,Rotana Hotel Management Corporation PJSC,Ras al-Khaimah,Full Time,Entry Level,Unknown,Installation/Maintenance/Repair,Engineering - Telecom/Technology,7
Information & Document Control Coordinator,Vanderlande,Riyadh,Full Time,Entry Level,Unknown,Installation/Maintenance/Repair,Engineering - Telecom/Technology,7
Client Engagement Manager - B2B - B,International Free Zone Authority | IFZA,Dubai,Full Time,Experienced,Unknown,Customer Service/Support,Sales/Retail,7
Videographer -Real Estate Experience Holder,Deluxe Holiday Homes,Dubai,Full Time,Experienced,Unknown,Business Development,Sales/Retail,7
Talent Acquisition Specialist,Flowmingo AI,Dubai,Part Time,Not specified,Unknown,Business Development,Sales/Retail,7
Application Engineer - Bottle Tester,Baker Hughes,Dubai,Full Time,Entry Level,Unknown,Installation/Maintenance/Repair,Engineering - Telecom/Technology,7
Merger and Acquisition – Deal Maker & Specialist,Handle AE,Dubai,Full Time,Experienced,Unknown,Business Development,Sales/Retail,7
Project Quality Lead,Wood,Dubai,Full Time,Experienced,Unknown,IT/Software Development,Quality,7
Account Manager Dubai (Future Hiring),Hilti Asia IT Services,Dubai,Full Time,Entry Level,Unknown,Customer Service/Support,Sales/Retail,7
Commercial Manager,Wood,Dubai,Full Time,Experienced,Unknown,Business Development,Sales/Retail,7
Testing Engineer (Substation/SWRO/Power Plants),ALUCOR,Dubai,Full Time,Entry Level,Unknown,IT/Software Development,Engineering - Telecom/Technology,7
Channel Account Manager,Saudi Xerox,Riyadh,Full Time,Experienced,Unknown,Customer Service/Support,Sales/Retail,7
Analyst-Revenue Management,Marriott International,Riyadh,Full Time,Experienced,Unknown,IT/Software Development,Analyst/Research,7
