Title,company,location,job_type,work_mode,Experience_level,Experience_year,categories,department,skills
Fullstack Developer,Capgemini Engineering,"Riyadh, Saudi Arabia",Full Time,,Experienced,Creative/Design/Art,Creative/Design/Art,Engineering - Telecom/Technology,"['Information Technology (IT)', 'Computer Science', 'Software Development', 'javaScript', 'HTML', 'Software Engineering', 'CSS']"
DG Beauty | Trade Marketing Specialist,DOLCE&GABBANA,"Dubai, United Arab Emirates",Full Time,,Entry Level,Marketing/PR/Advertising,Marketing/PR/Advertising,Media/Journalism/Publishing,"['Marketing', 'Market Research', 'Trade', 'Trade Marketing', 'Communication Skills', 'E-marketing', 'Microsoft Office']"
Multimedia Reporter - UAE,Middle East Broadcasting Networks,"Dubai, United Arab Emirates",Full Time,,Entry Level,Creative/Design/Art,Creative/Design/Art,Media/Journalism/Publishing,"['marketing', 'social media', 'digital marketing', 'media', 'english', 'writing', 'multimedia']"
Assistant Manager Finance,Agile Consultants,"Dubai, United Arab Emirates",Full Time,,Experienced,Accounting/Finance,Accounting/Finance,Operations/Management,"['Administration', 'Microsoft Office', 'Finance', 'Accounting', 'Office Management', 'Financial Management', 'Financial Analysis']"
HR Service Agent,Vanderlande,"Makkah, Saudi Arabia",Full Time,,Entry Level,Customer Service/Support,Customer Service/Support,Tourism/Travel,"['Customer Service', 'Customer Care', 'Customer Support', 'Call Center', 'Communication Skills', 'English', 'Sales']"
Business Development Specialist (Proptech),York Towers,"Riyadh, Saudi Arabia",Full Time,,Experienced,Business Development,Business Development,Sales/Retail,"['Business Development', 'Sales', 'Sales Skills', 'Sales Target', 'Marketing', 'Customer Service', 'Customer Support']"
Buyer Manager,RetailEXPO,"Riyadh, Saudi Arabia",Full Time,,Experienced,Logistics/Supply Chain,Logistics/Supply Chain,Media/Journalism/Publishing,"['Marketing', 'Social Media', 'Media', 'Digital Media', 'Advertising', 'Digital Marketing', 'Media Buyer']"
Regional Sales Director,Zycus,"Riyadh, Saudi Arabia",Full Time,,Manager,Business Development,Business Development,Sales/Retail,"['Sales', 'Sales Skills', 'Sales Target', 'Management', 'Communication Skills', 'Customer Service', 'Sales Management']"
"Process Analyst, Customer Experience",Tabby,"Dubai, United Arab Emirates",Full Time,,Experienced,IT/Software Development,IT/Software Development,Engineering - Telecom/Technology,"['sales', 'customer service', 'information technology (it)', 'sales skills', 'customer support', 'engineering', 'software development']"
Affliate Marketing Executive,SQUATWOLF,"Dubai, United Arab Emirates",Full Time,,Entry Level,Marketing/PR/Advertising,Marketing/PR/Advertising,Media/Journalism/Publishing,"['Marketing', 'Social Media', 'E-marketing', 'Market Research', 'Digital Marketing', 'Media', 'Advertising']"
